Player,Height(in),Weight,Hand(in),Arm(in),Wingspan(in)
Travis Hunter,72.375,188,9.125,31.375,76.875
Tetairoa McMillan,76.125,219,10,31.5,77.875
Luther Burden III,72,206,8.5,31.25,74.25
Emeka Egbuka,72.583,202,9.625,31.5,76.5
Matthew Golden,73.833,191,9.5,30.625,75.375
Elic Ayomanor,73.75,206,10,32.375,77.25
Tre Harris,74.00,205,9.625,31.875,78.25
Isaiah Bond,70.5,180,8.5,30.5,74.25
Jayden Higgins,76,214,9.125,33.125,78.25
Savion Williams,75.875,222,10.25,32.5,80.875
Xavier Restrepo,73.5,209,9.125,29.375,73.25
Tez Johnson,72.083,154,9,29.375,70.25
Jalen Royals,72,205,9.5,30.125,74.25
Jack Bech,72,214,9,31.5,75.5
Jaylin Noel,73.167,194,8.75,29.5,73.5
Kaden Prather,73.333,204,9.25,31.875,75.5
Jimmy Horn Jr.,72.083,174,8.75,30.375,72.25
Tory Horton,72.333,196,9,30.625,74.25
Ricky White III,72.083,184,9.25,31.75,75.25
Kyle Williams,72.417,190,8.75,30.125,72.25
Bru McCoy,72.333,209,10,32.125,76.25
Tai Felton,73.083,183,9,30,71.25
Sam Brown Jr.,72.167,200,9.375,31.625,75.25
Isaac TeSlaa,73.417,214,10,31.125,75.25
Ja'Corey Brooks,72,184,9,31.75,74.25
Kobe Hudson,72.5,193,9,31.75,74.25
Nick Nash,72.333,203,8.75,31,74.25
