Player,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,HSrank
Marquise Brown,Oklahoma,Big 12,JR,WR,14,75,1318,17.6,10,94.1,3
N'Keal Harry,Arizona State,Pac-12,JR,WR,12,73,1088,14.9,9,90.7,5
Deebo Samuel,South Carolina,SEC,SR,WR,12,62,882,14.2,11,73.5,3
A.J. Brown,Ole Miss,SEC,JR,WR,12,85,1320,15.5,6,110.0,4
Mecole Hardman,Georgia,SEC,JR,WR,14,35,543,15.5,7,38.8,5
JJ Arcega-Whiteside,Stanford,Pac-12,SR,WR,12,63,1059,16.8,14,88.2,3
Parris Campbell,Ohio State,Big Ten,SR,WR,14,90,1063,11.8,12,75.9,4
Andy Isabella,UMass,Ind,SR,WR,12,102,1698,16.7,13,141.5,2
D.K. Metcalf,Ole Miss,SEC,SO,WR,7,26,569,21.9,5,81.3,4
Diontae Johnson,Toledo,MAC,JR,WR,13,49,761,15.5,8,58.5,2
Terry McLaurin,Ohio State,Big Ten,SR,WR,13,35,701,20.0,11,53.9,4
Miles Boykin,Notre Dame,Ind,SR,WR,13,59,872,14.8,8,67.1,4
Hakeem Butler,Iowa State,Big 12,JR,WR,13,60,1318,22.0,9,101.4,3
Gary Jennings Jr,West Virginia,Big 12,SR,WR,11,54,917,17.0,13,83.4,3
Riley Ridley,Georgia,SEC,JR,WR,14,44,570,13.0,9,40.7,4
Hunter Renfrow,Clemson,ACC,SR,WR,13,49,544,11.1,1,41.8,2
Darius Slayton,Auburn,SEC,JR,WR,13,35,670,19.1,5,51.5,3
KeeSean Johnson,Fresno State,Mtn West,SR,WR,14,95,1340,14.1,8,95.7,3
Travis Fulgham,Old Dominion,C-USA,SR,WR,12,63,1083,17.2,9,90.3,2
Juwann Winfree,Colorado,Pac-12,SR,WR,8,28,324,11.6,2,40.5,3
Kelvin Harmon,NC State,ACC,JR,WR,12,81,1186,14.6,7,98.8,4
Scott Miller,Bowling Green,MAC,SR,WR,12,71,1148,16.2,9,95.7,2
John Ursua,Hawaii,Mtn West,JR,WR,13,89,1343,15.1,16,103.3,2
Terry Godwin,Georgia,SEC,SR,WR,14,22,373,17.0,3,26.6,5
Olabisi Johnson,Colorado State,Mtn West,SR,WR,12,54,796,14.7,4,66.3,2
