Player,40yd,Vert(in),Bench,Broad(in),3cone,Shuttle
Henry Ruggs III,4.27,42.0,n/a,131,n/a,n/a
Jerry Jeudy,4.45,35.0,15,120,n/a,n/a
CeeDee Lamb,4.50,34.5,n/a,124,n/a,n/a
Jalen Reagor,4.47,42.0,n/a,138,n/a,n/a
Justin Jefferson,4.43,37.5,n/a,126,n/a,n/a
Brandon Aiyuk,4.50,36.0,n/a,128,n/a,n/a
Tee Higgins,4.59,34.0,n/a,125,n/a,n/a
Michael Pittman Jr.,4.52,36.5,13,121,n/a,n/a
Laviska Shenault Jr.,4.58,31.0,n/a,n/a,n/a,n/a
KJ Hamler,4.27,n/a,n/a,n/a,n/a,n/a
Chase Claypool,4.42,40.5,n/a,126,n/a,n/a
Van Jefferson,4.55,32.0,n/a,n/a,n/a,n/a
Denzel Mims,4.38,38.5,16,131,n/a,n/a
Lynn Bowden Jr.,4.59,30.0,n/a,n/a,n/a,n/a
Bryan Edwards,4.53,n/a,n/a,n/a,n/a,n/a
Devin Duvernay,4.39,35.5,n/a,123,n/a,n/a
Gabriel Davis,4.54,35.0,14,124,7.08,4.59
Antonio Gandy-Golden,4.60,36.0,22,127,7.33,4.55
Joe Reed,4.47,38.0,n/a,123,n/a,n/a
Tyler Johnson,4.50,n/a,n/a,n/a,n/a,n/a
Collin Johnson,4.73,n/a,17,n/a,n/a,n/a
Quintez Cephus,4.73,38.5,23,124,7.20,4.33
John Hightower,4.43,38.5,n/a,122,7.07,4.21
Isaiah Coulter,4.45,36.0,n/a,121,7.28,4.62
Darnell Mooney,4.38,37.0,9,124,n/a,n/a
K.J. Osborn,4.48,37.5,18,123,7.00,4.35
Donovan Peoples-Jones,4.48,44.5,n/a,n/a,n/a,n/a
Quez Watkins,4.35,36.5,n/a,125,n/a,n/a
James Proche,4.59,34.5,20,129,7.27,4.40
Isaiah Hodgins,4.61,36.5,n/a,124,7.01,4.12
Dezmon Patmon,4.48,36.0,15,132,7.28,4.38
Freddie Swain,4.46,36.5,16,124,7.05,4.26
Jauan Jennings,4.72,29.0,n/a,119,n/a,n/a
K.J. Hill,4.60,32.5,17,n/a,n/a,n/a
Tyrie Cleveland,4.46,39.5,n/a,126,n/a,n/a
