Player,40yd,Vert(in),Bench,Broad(in),3cone,Shuttle
D.J. Moore,4.42,39.0,15.0,132.0,6.95,4.22
Calvin Ridley,4.43,31.0,11.0,124.0,6.88,4.28
Courtland Sutton,4.54,35.5,18.0,124.0,6.57,4.11
Dante Pettis,4.48,36.0,13.0,127.0,6.87,4.23
Christian Kirk,4.47,35.5,20.0,115.0,7.09,4.45
Anthony Miller,4.48,39.0,22.0,129.0,6.65,4.19
James Washington,4.54,34.5,14.0,120.0,7.11,4.32
DJ Chark,4.34,40.0,16.0,129.0,7.0,4.24
Michael Gallup,4.51,36.0,10.0,122.0,6.95,4.37
Tre'Quan Smith,4.49,37.5,12.0,130.0,7.01,4.5
Keke Coutee,4.43,34.5,14.0,113.0,6.93,4.15
Antonio Callaway,4.41,34.0,9.0,121.0,7.1,4.3
DaeSean Hamilton,4.52,34.5,15.0,119.0,6.84,4.15
Jaleel Scott,4.56,34.5,13.0,122.0,7.1,4.4
J'Mon Moore,4.6,38.0,15.0,120.0,6.56,4.15
Justin Watson,4.41,40.0,20.0,124.0,6.96,4.22
Daurice Fountain,4.46,42.5,14.0,134.0,6.9,4.2
Marquez Valdes-Scantling,4.37,30.0,15.0,124.0,6.85,4.15
Damion Ratley,4.45,38.0,12.0,125.0,6.9,4.25
Deon Cain,4.43,33.5,11.0,123.0,6.71,4.37
Ray-Ray McCloud,4.53,34.5,13.0,113.0,7.09,4.26
Russell Gage,4.42,39.0,15.0,124.0,6.95,4.35
Tremon Smith,4.32,35.0,12.0,125.0,7.0,4.2
Equanimeous St. Brown,4.48,34.5,20.0,130.0,6.7,4.13
Cedrick Wilson Jr.,4.55,37.0,9.0,122.0,6.89,4.23
Braxton Berrios,4.44,36.0,14.0,115.0,6.72,4.18
Javon Wims,4.53,33.5,13.0,124.0,7.0,4.3
Marcell Ateman,4.62,34.0,13.0,125.0,6.74,4.19
Richie James,4.48,35.5,6.0,120.0,6.87,4.16
Auden Tate,4.68,31.0,14.0,112.0,7.4,4.31
Trey Quinn,4.55,34.5,17.0,117.0,6.91,4.19
Marquise Brown,4.27,29.3,,,,
N'Keal Harry,4.53,38.5,27.0,122.0,,
Deebo Samuel,4.48,39.0,15.0,122.0,7.03,4.14
A.J. Brown,4.49,36.5,19.0,120.0,,4.35
Mecole Hardman,4.33,36.5,17.0,119.0,,
JJ Arcega-Whiteside,4.49,34.0,,119.0,7.23,4.41
Parris Campbell,4.31,40.0,11.0,135.0,6.98,4.03
Andy Isabella,4.31,36.5,15.0,121.0,6.95,4.15
D.K. Metcalf,4.33,40.5,27.0,134.0,7.38,4.5
Diontae Johnson,4.53,33.5,15.0,123.0,7.09,4.45
Terry McLaurin,4.35,37.5,18.0,125.0,7.01,4.15
Miles Boykin,4.42,43.5,12.0,140.0,6.77,4.07
Hakeem Butler,4.48,36.0,18.0,128.0,,
Gary Jennings Jr.,4.42,37.0,20.0,127.0,7.32,4.15
Riley Ridley,4.58,30.5,13.0,124.0,7.22,4.28
Hunter Renfrow,4.59,35.0,7.0,116.0,6.8,4.19
Darius Slayton,4.39,40.5,11.0,135.0,7.0,4.15
KeeSean Johnson,4.6,30.0,14.0,117.0,7.13,4.23
Travis Fulgham,4.58,36.5,15.0,126.0,7.09,
Juwann Winfree,4.5,33.5,16.0,124.0,7.21,4.11
Kelvin Harmon,4.6,32.5,18.0,117.0,7.15,4.32
Scott Miller,4.39,33.5,11.0,125.0,6.81,4.02
John Ursua,4.56,35.0,14.0,120.0,7.18,4.19
Terry Godwin,4.55,36.0,9.0,117.0,7.01,4.15
Olabisi Johnson,4.51,38.0,14.0,124.0,6.88,4.16
