Player,Height(in),Weight,Hand(in),Arm(in),Wingspan(in)
Henry Ruggs III,71,188,10.125,30.5,74.5
Jerry Jeudy,73,193,9.5,32.125,78
CeeDee Lamb,73.625,198,9.25,32.25,76.375
Jalen Reagor,70.625,206,9.5,31.375,74.25
Justin Jefferson,73.25,202,9.125,33,78
Brandon Aiyuk,71.625,205,10,33.5,80
Tee Higgins,75.625,216,9.25,34.125,81
Michael Pittman Jr.,76,223,9.25,32.5,79.25
Laviska Shenault Jr.,72.625,227,9,31.875,76.375
KJ Hamler,69.25,178,9.375,30.75,74
Chase Claypool,76,238,10,32.5,80.375
Van Jefferson,73.375,200,9.125,33,78
Denzel Mims,74.875,207,9.375,33.875,81
Lynn Bowden Jr.,71.125,204,9.125,31.125,75
Bryan Edwards,74,212,9.125,32.375,79
Devin Duvernay,70.625,200,9.625,30.75,73.625
Gabriel Davis,74,216,9,32,78.375
Antonio Gandy-Golden,76.375,223,9.875,31.25,78
Joe Reed,72.5,224,9.75,31.125,75.5
Tyler Johnson,73.375,206,9,30.875,75
Collin Johnson,77.625,222,9,31.75,80
Quintez Cephus,72.375,202,9.625,32,75.125
John Hightower,73.125,189,9.125,32.5,76
Isaiah Coulter,74,198,9,31.375,77
Darnell Mooney,70,176,9.25,30.875,73.5
Donovan Peoples-Jones,73.625,212,10.125,33.5,81.125
Freddie Swain,72.25,197,9,30.625,74
KJ Osborn,71.5,203,9.125,31.25,75.5
Dezmon Patmon,75.75,225,10.25,32.75,79.375
Jauan Jennings,75.125,215,9,31.625,78
Quez Watkins,72.125,185,9,32.875,78.625
James Proche,71,201,9.625,31.375,74.625
Tyrie Cleveland,74,209,9.375,32.375,79.625
KJ Hill,72.125,196,9.125,31,75
Isaiah Hodgins,75,210,9.875,33.125,79
