Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,nflRec,nflYds,nflTD,nflYears
1,25,BAL,Marquise Brown,WR,22,2024,0,0,4,34,24,74,322,3735,28,6
1,32,NWE,N'Keal Harry,WR,21,2023,0,0,1,7,6,49,64,714,5,5
2,36,SFO,Deebo Samuel,WR,23,2024,1,1,5,47,47,81,334,4792,22,6
2,51,TEN,A.J. Brown,WR,22,2024,0,3,6,66,26,90,446,7026,49,6
2,56,KAN,Mecole Hardman,WR,21,2024,0,1,0,23,23,80,178,2302,16,6
2,57,PHI,JJ Arcega-Whiteside,WR,22,2021,0,0,0,2,2,40,16,290,1,3
2,59,IND,Parris Campbell,WR,22,2024,0,0,1,9,9,49,123,1117,6,6
2,62,ARI,Andy Isabella,WR,22,2023,0,0,0,4,4,43,33,447,3,5
2,64,SEA,D.K. Metcalf,WR,21,2024,0,2,6,51,51,97,438,6324,48,6
3,66,PIT,Diontae Johnson,WR,23,2024,0,1,5,35,33,89,424,4738,28,6
3,76,WAS,Terry McLaurin,WR,23,2024,0,2,6,47,47,97,460,6379,38,6
3,93,BAL,Miles Boykin,WR,22,2023,0,0,2,6,6,73,38,498,7,5
4,103,ARI,Hakeem Butler,WR,23,2020,0,0,0,0,,2,0,0,0,2
4,120,SEA,Gary Jennings Jr,WR,22,2019,0,0,0,0,,1,0,0,0,1
4,126,CHI,Riley Ridley,WR,23,2020,0,0,0,1,1,10,10,108,0,2
5,149,OAK,Hunter Renfrow,WR,23,2023,0,1,0,21,21,73,269,2884,17,5
5,171,NYG,Darius Slayton,WR,22,2024,0,0,5,28,28,92,259,3897,21,6
6,174,ARI,KeeSean Johnson,WR,22,2021,0,0,0,4,4,18,36,360,1,3
6,184,DET,Travis Fulgham,WR,23,2021,0,0,1,4,0,17,38,539,4,2
6,187,DEN,Juwann Winfree,WR,23,2023,0,0,0,1,0,23,9,75,0,5
6,206,WAS,Kelvin Harmon,WR,22,2019,0,0,1,3,3,16,30,365,0,1
6,208,TAM,Scott Miller,WR,22,2024,0,0,1,10,9,80,90,1154,6,6
7,236,SEA,John Ursua,WR,25,2019,0,0,0,0,0,3,1,11,0,1
7,237,CAR,Terry Godwin,WR,22,2020,0,0,0,0,,3,3,32,0,2
7,247,MIN,Olabisi Johnson,WR,22,2020,0,0,0,5,5,32,45,483,3,2
