Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Rec,Yds,TD,College/Univ,-9999
1,12,LVR,Henry Ruggs III,WR,21,2021,0,0,1,8,8,20,50,921,4,Alabama,RuggHe00
1,15,DEN,Jerry Jeudy,WR,21,2024,0,0,3,22,22,63,231,3301,12,Alabama,JeudJe00
1,17,DAL,CeeDee Lamb,WR,21,2024,1,3,4,50,50,72,427,5612,34,Oklahoma,LambCe00
1,21,PHI,Jalen Reagor,WR,21,2023,0,0,2,10,7,56,79,937,4,TCU,ReagJa00
1,22,MIN,Justin Jefferson,WR,21,2024,1,3,4,46,46,65,418,6349,34,LSU,JeffJu00
1,25,SFO,Brandon Aiyuk,WR,22,2024,0,0,4,37,37,68,292,4282,25,Arizona St.,AiyuBr00
2,33,CIN,Tee Higgins,WR,21,2024,0,0,4,31,31,62,282,3943,26,Clemson,HiggTe00
2,34,IND,Michael Pittman Jr.,WR,22,2024,0,0,4,32,32,68,361,3935,17,USC,PittMi01
2,42,JAX,Laviska Shenault Jr.,WR,21,2024,0,0,1,12,9,57,162,1577,6,Colorado,ShenLa00
2,46,DEN,KJ Hamler,WR,21,2022,0,0,0,5,5,23,42,620,3,Penn St.,HamlKJ00
2,49,PIT,Chase Claypool,WR,22,2023,0,0,1,19,17,58,175,2261,13,Notre Dame,ClayCh01
2,57,LAR,Van Jefferson,WR,24,2024,0,0,2,14,13,67,121,1662,10,Florida,JeffVa00
2,59,NYJ,Denzel Mims,WR,22,2022,0,0,1,5,5,30,42,676,0,Baylor,MimsDe00
3,80,LVR,Lynn Bowden Jr.,WR,22,2023,0,0,0,3,,26,39,294,0,Kentucky,BowdLy00
3,81,LVR,Bryan Edwards,WR,21,2022,0,0,1,6,6,35,48,779,4,South Carolina,EdwaBr01
3,92,BAL,Devin Duvernay,WR,22,2024,1,2,1,12,12,64,95,897,5,Texas,DuveDe00
4,128,BUF,Gabriel Davis,WR,21,2024,0,0,3,25,25,70,180,2934,29,Central Florida,DaviGa01
4,142,WAS,Antonio Gandy-Golden,WR,22,2021,0,0,0,0,0,10,1,3,0,Liberty,GandAn00
5,151,LAC,Joe Reed,WR,22,2020,0,0,0,0,0,11,0,0,0,Virginia,ReedJo03
5,161,TAM,Tyler Johnson,WR,22,2024,0,0,0,5,5,39,60,656,3,Minnesota,JohnTy00
5,165,JAX,Collin Johnson,WR,22,2024,0,0,0,3,2,31,30,388,2,Texas,JohnCo01
5,166,DET,Quintez Cephus,WR,22,2022,0,0,0,5,5,22,37,568,4,Wisconsin,CephQu00
5,168,PHI,John Hightower,WR,24,2021,0,0,0,1,1,14,10,167,0,Boise St.,HighJo00
5,171,HOU,Isaiah Coulter,WR,21,2021,0,0,0,0,0,4,0,0,0,Rhode Island,CoulIs00
5,173,CHI,Darnell Mooney,WR,22,2024,0,0,3,24,24,66,240,2961,14,Tulane,MoonDa00
5,176,MIN,K.J. Osborn,WR,23,2024,0,0,2,13,13,63,163,1876,15,Miami (FL),OsboKJ00
6,187,CLE,Donovan Peoples-Jones,WR,21,2023,0,0,1,18,17,58,122,1895,8,Michigan,PeopDo00
6,200,PHI,Quez Watkins,WR,22,2023,0,0,1,13,13,49,98,1249,6,Southern Miss,WatkQu00
6,201,BAL,James Proche,WR,23,2024,0,0,0,3,3,57,26,281,0,SMU,ProcJa00
6,207,BUF,Isaiah Hodgins,WR,21,2024,0,0,1,5,0,30,59,627,7,Oregon St.,HodgIs00
6,212,IND,Dezmon Patmon,WR,22,2022,0,0,0,0,0,10,4,45,1,Washington St.,PatmDe00
6,214,SEA,Freddie Swain,WR,22,2022,0,0,0,5,5,37,42,576,6,Florida,SwaiFr00
7,217,SFO,Jauan Jennings,WR,23,2024,0,0,0,9,9,51,103,1367,10,Tennessee,JennJa00
7,220,LAC,K.J. Hill,WR,22,2021,0,0,0,1,1,21,10,103,0,Ohio St.,HillKJ00
7,252,DEN,Tyrie Cleveland,WR,22,2022,0,0,0,0,0,23,8,91,0,Florida,ClevTy00
