Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,nflRec,nflYds,nflTD,nflYears
1,12,LVR,Henry Ruggs III,WR,21,2021,0,0,1,8,8.0,20,50,921,4,2
1,15,DEN,Jerry Jeudy,WR,21,2024,0,0,3,22,22.0,63,231,3301,12,5
1,17,DAL,CeeDee Lamb,WR,21,2024,1,3,4,50,50.0,72,427,5612,34,5
1,21,PHI,Jalen Reagor,WR,21,2023,0,0,2,10,7.0,56,79,937,4,4
1,22,MIN,Justin Jefferson,WR,21,2024,1,3,4,46,46.0,65,418,6349,34,5
1,25,SFO,Brandon Aiyuk,WR,22,2024,0,0,4,37,37.0,68,292,4282,25,5
2,33,CIN,Tee Higgins,WR,21,2024,0,0,4,31,31.0,62,282,3943,26,5
2,34,IND,Michael Pittman Jr.,WR,22,2024,0,0,4,32,32.0,68,361,3935,17,5
2,42,JAX,Laviska Shenault Jr.,WR,21,2024,0,0,1,12,9.0,57,162,1577,6,5
2,46,DEN,KJ Hamler,WR,21,2022,0,0,0,5,5.0,23,42,620,3,3
2,49,PIT,Chase Claypool,WR,22,2023,0,0,1,19,17.0,58,175,2261,13,4
2,57,LAR,Van Jefferson,WR,24,2024,0,0,2,14,13.0,67,121,1662,10,5
2,59,NYJ,Denzel Mims,WR,22,2022,0,0,1,5,5.0,30,42,676,0,3
3,80,LVR,Lynn Bowden Jr.,WR,22,2023,0,0,0,3,,26,39,294,0,4
3,81,LVR,Bryan Edwards,WR,21,2022,0,0,1,6,6.0,35,48,779,4,3
3,92,BAL,Devin Duvernay,WR,22,2024,1,2,1,12,12.0,64,95,897,5,5
4,128,BUF,Gabriel Davis,WR,21,2024,0,0,3,25,25.0,70,180,2934,29,5
4,142,WAS,Antonio Gandy-Golden,WR,22,2021,0,0,0,0,0.0,10,1,3,0,2
5,151,LAC,Joe Reed,WR,22,2020,0,0,0,0,0.0,11,0,0,0,1
5,161,TAM,Tyler Johnson,WR,22,2024,0,0,0,5,5.0,39,60,656,3,5
5,165,JAX,Collin Johnson,WR,22,2024,0,0,0,3,2.0,31,30,388,2,5
5,166,DET,Quintez Cephus,WR,22,2022,0,0,0,5,5.0,22,37,568,4,3
5,168,PHI,John Hightower,WR,24,2021,0,0,0,1,1.0,14,10,167,0,2
5,171,HOU,Isaiah Coulter,WR,21,2021,0,0,0,0,0.0,4,0,0,0,2
5,173,CHI,Darnell Mooney,WR,22,2024,0,0,3,24,24.0,66,240,2961,14,5
5,176,MIN,K.J. Osborn,WR,23,2024,0,0,2,13,13.0,63,163,1876,15,5
6,187,CLE,Donovan Peoples-Jones,WR,21,2023,0,0,1,18,17.0,58,122,1895,8,4
6,200,PHI,Quez Watkins,WR,22,2023,0,0,1,13,13.0,49,98,1249,6,4
6,201,BAL,James Proche,WR,23,2024,0,0,0,3,3.0,57,26,281,0,5
6,207,BUF,Isaiah Hodgins,WR,21,2024,0,0,1,5,0.0,30,59,627,7,5
6,212,IND,Dezmon Patmon,WR,22,2022,0,0,0,0,0.0,10,4,45,1,3
6,214,SEA,Freddie Swain,WR,22,2022,0,0,0,5,5.0,37,42,576,6,3
7,217,SFO,Jauan Jennings,WR,23,2024,0,0,0,9,9.0,51,103,1367,10,5
7,220,LAC,K.J. Hill,WR,22,2021,0,0,0,1,1.0,21,10,103,0,2
7,252,DEN,Tyrie Cleveland,WR,22,2022,0,0,0,0,0.0,23,8,91,0,3
1,5,CIN,Ja'Marr Chase,WR,21,2024,0,3,3,33,33.0,51,302,4282,34,4
1,6,MIA,Jaylen Waddle,WR,22,2024,0,0,3,28,28.0,52,272,3643,18,4
1,10,PHI,DeVonta Smith,WR,22,2024,0,0,3,32,32.0,54,264,3481,21,4
1,20,NYG,Kadarius Toney,WR,22,2023,0,0,0,7,3.0,32,82,760,3,3
1,27,BAL,Rashod Bateman,WR,21,2024,0,0,1,11,11.0,40,110,1440,6,4
2,34,NYJ,Elijah Moore,WR,21,2024,0,0,2,12,7.0,50,155,1719,8,4
2,49,ARI,Rondale Moore,WR,21,2023,0,0,0,12,12.0,39,135,1201,3,3
2,56,SEA,D'Wayne Eskridge,WR,24,2024,0,0,0,2,2.0,26,18,152,1,4
2,57,LAR,Tutu Atwell,WR,21,2024,0,0,1,8,8.0,42,74,1062,4,4
2,59,CAR,Terrace Marshall Jr.,WR,21,2023,0,0,1,6,6.0,36,64,767,1,3
3,77,LAC,Josh Palmer,WR,21,2024,0,0,1,13,13.0,47,152,1811,9,4
3,82,WAS,Dyami Brown,WR,21,2024,0,0,0,3,3.0,53,37,581,4,4
3,85,GNB,Amari Rodgers,WR,21,2023,0,0,0,2,1.0,35,20,249,1,3
3,89,HOU,Nico Collins,WR,22,2024,0,0,1,18,18.0,44,182,2791,14,4
3,91,CLE,Anthony Schwartz,WR,21,2022,0,0,0,2,2.0,25,14,186,1,2
4,109,TEN,Dez Fitzpatrick,WR,23,2023,0,0,0,0,0.0,6,5,49,1,3
4,112,DET,Amon-Ra St. Brown,WR,21,2024,1,2,2,35,35.0,54,346,3877,24,4
4,129,TAM,Jaelon Darden,WR,22,2024,0,0,0,0,0.0,26,9,75,0,4
4,131,BAL,Tylan Wallace,WR,22,2024,0,0,0,1,1.0,43,9,98,0,4
4,141,LAR,Jacob Harris,WR,24,2023,0,0,0,0,0.0,18,1,6,0,3
5,157,MIN,Ihmir Smith-Marsette,WR,22,2024,0,0,0,3,1.0,37,14,182,2,4
5,179,DAL,Simi Fehoko,WR,23,2024,0,0,0,0,0.0,21,7,94,1,4
5,181,KAN,Cornell Powell,WR,23,2022,0,0,0,0,0.0,3,0,0,0,2
6,187,ATL,Frank Darby,WR,23,2023,0,0,0,0,0.0,16,2,29,0,3
6,203,BUF,Marquez Stevenson,WR,23,2021,0,0,0,0,0.0,5,0,0,0,1
6,204,CAR,Shi Smith,WR,22,2022,0,0,0,4,4.0,23,28,400,2,2
6,205,TEN,Racey McMath,WR,22,2022,0,0,0,0,0.0,14,4,48,0,2
6,209,JAX,Jalen Camp,WR,23,2022,0,0,0,0,,5,1,7,0,2
6,219,DEN,Seth Williams,WR,21,2021,0,0,0,0,0.0,2,1,34,0,1
6,221,CHI,Dazz Newsome,WR,22,2021,0,0,0,0,0.0,3,2,23,0,1
7,229,IND,Mike Strachan,WR,24,2023,0,0,0,0,0.0,23,6,130,0,3
7,242,NWE,Tre Nixon,WR,23,2021,0,0,0,0,0.0,0,0,0,0,1
7,249,LAR,Ben Skowronek,WR,24,2024,0,0,1,6,6.0,47,58,575,1,4
7,255,NOR,Kawaan Baker,WR,23,2021,0,0,0,0,0.0,2,0,0,0,1
7,258,WAS,Dax Milne,WR,22,2022,0,0,0,1,1.0,28,15,120,1,2
1,8,ATL,Drake London,WR,21,2024,0,0,2,16,16.0,39,179,2199,10,3
1,10,NYJ,Garrett Wilson,WR,22,2024,0,0,2,15,15.0,40,219,2544,10,3
1,11,NOR,Chris Olave,WR,22,2024,0,0,2,18,18.0,37,182,2445,10,3
1,12,DET,Jameson Williams,WR,21,2024,0,0,1,5,5.0,23,41,760,6,3
1,16,WAS,Jahan Dotson,WR,22,2024,0,0,2,8,8.0,34,90,1076,11,3
1,18,TEN,Treylon Burks,WR,22,2024,0,0,1,6,6.0,27,53,699,1,3
2,34,GNB,Christian Watson,WR,23,2024,0,0,2,11,11.0,28,77,1181,14,3
2,43,NYG,Wan'Dale Robinson,WR,21,2024,0,0,0,6,6.0,27,120,1032,4,3
2,44,HOU,John Metchie,WR,22,2024,0,0,0,1,1.0,19,17,165,0,3
2,50,NWE,Tyquan Thornton,WR,21,2024,0,0,1,3,3.0,27,37,365,2,3
2,52,PIT,George Pickens,WR,21,2024,0,0,2,17,17.0,40,141,2304,9,3
2,53,IND,Alec Pierce,WR,22,2024,0,0,2,9,9.0,39,86,1475,7,3
2,54,KAN,Skyy Moore,WR,21,2024,0,0,0,4,4.0,35,43,494,1,3
3,71,CHI,Velus Jones Jr.,WR,25,2024,0,0,0,3,3.0,27,12,135,1,3
3,88,DAL,Jalen Tolbert,WR,23,2024,0,0,0,3,3.0,31,48,570,4,3
3,99,CLE,David Bell,WR,21,2024,0,0,0,3,3.0,32,41,408,3,3
3,105,SFO,Danny Gray,WR,23,2022,0,0,0,0,0.0,13,1,10,0,1
4,125,MIA,Erik Ezukanma,WR,22,2024,0,0,0,0,0.0,4,1,3,0,3
4,132,GNB,Romeo Doubs,WR,22,2024,0,0,1,11,11.0,35,116,1317,13,3
4,138,PIT,Calvin Austin,WR,23,2024,0,0,0,2,2.0,23,27,347,2,3
5,148,BUF,Khalil Shakir,WR,22,2024,0,0,1,8,8.0,36,69,1021,5,3
5,162,DEN,Montrell Washington,WR,23,2023,0,0,0,0,0.0,21,4,2,0,2
5,163,TEN,Kyle Philips,WR,23,2023,0,0,0,3,3.0,13,23,259,0,2
6,191,MIN,Jalen Nailor,WR,23,2024,0,0,0,1,1.0,26,20,345,4,3
6,202,CLE,Michael Woods II,WR,22,2022,0,0,0,0,0.0,10,5,45,0,1
7,229,SEA,Bo Melton,WR,23,2024,0,0,0,2,,11,19,264,1,3
7,233,SEA,Dareke Young,WR,23,2024,0,0,0,0,0.0,24,2,24,0,3
